"Education" "Married" "Experience" "Union" "Wage" "sex" "ethnicity" "Region"
"448" 16 "No" 6 "No" 12.05 "F" "W" "North"
"449" 12 "Yes" 7 "No" 4.5 "F" "W" "North"
"450" 9 "No" 16 "No" 4.8 "M" "B" "North"
"451" 10 "Yes" 30 "No" 6.5 "M" "W" "North"
"452" 12 "Yes" 19 "No" 7.69 "M" "W" "North"
"453" 12 "No" 15 "No" 9.33 "F" "W" "North"
"454" 12 "Yes" 12 "No" 5 "M" "B" "North"
"455" 12 "Yes" 33 "No" 6.1 "F" "B" "North"
"456" 12 "No" 36 "No" 10.67 "M" "B" "North"
"457" 12 "No" 25 "No" 3.5 "F" "B" "North"
"458" 12 "Yes" 35 "Yes" 10 "M" "B" "North"
"459" 13 "No" 8 "Yes" 9 "M" "B" "North"
"460" 12 "Yes" 23 "No" 7.5 "F" "B" "South"
"461" 18 "No" 7 "No" 5.71 "M" "W" "South"
"462" 17 "No" 3 "No" 8.5 "M" "W" "South"
"463" 12 "Yes" 8 "No" 4 "M" "B" "South"
"464" 9 "Yes" 34 "Yes" 5.75 "F" "B" "South"
"465" 12 "No" 2 "No" 5.25 "M" "W" "North"
"466" 12 "Yes" 34 "No" 3.5 "M" "W" "North"
"467" 11 "No" 2 "No" 4.5 "M" "W" "North"
"468" 12 "No" 11 "No" 5.5 "F" "W" "North"
"469" 13 "Yes" 4 "No" 6.25 "F" "W" "North"
"470" 16 "Yes" 22 "Yes" 8.89 "F" "W" "North"
"471" 12 "Yes" 45 "No" 5.25 "F" "W" "North"
"472" 14 "Yes" 26 "No" 10.25 "F" "W" "North"
"473" 14 "Yes" 12 "No" 6.25 "F" "W" "North"
"474" 12 "Yes" 3 "No" 4.35 "F" "W" "North"
"475" 13 "No" 36 "No" 17.86 "M" "W" "North"
"476" 12 "Yes" 9 "Yes" 7.5 "F" "W" "North"
"477" 16 "Yes" 7 "No" 6.25 "F" "W" "North"
"478" 14 "Yes" 14 "No" 4.5 "M" "W" "North"
"479" 12 "No" 6 "No" 6.4 "F" "W" "North"
"480" 15 "Yes" 1 "Yes" 4.84 "M" "W" "North"
"481" 11 "Yes" 4 "No" 4.15 "M" "W" "North"
"482" 12 "Yes" 5 "No" 5.13 "F" "W" "North"
"483" 8 "Yes" 38 "No" 5.26 "F" "W" "North"
"484" 16 "Yes" 6 "No" 7.78 "F" "W" "North"
"485" 13 "No" 9 "Yes" 13.07 "M" "W" "North"
"486" 13 "Yes" 15 "No" 8 "F" "W" "North"
"487" 15 "Yes" 11 "No" 7.67 "F" "W" "North"
"488" 12 "No" 17 "No" 7.5 "M" "W" "North"
"489" 12 "No" 1 "No" 2.85 "M" "W" "North"
"490" 12 "Yes" 9 "No" 6.36 "M" "W" "North"
"491" 9 "No" 48 "No" 3.5 "M" "W" "North"
"492" 12 "Yes" 17 "Yes" 11.35 "M" "W" "North"
"493" 12 "Yes" 33 "No" 5.5 "F" "W" "North"
"494" 12 "Yes" 7 "No" 9.15 "M" "W" "North"
"495" 14 "Yes" 12 "No" 7.96 "F" "W" "North"
"496" 16 "Yes" 6 "No" 5.65 "F" "W" "North"
"497" 16 "No" 16 "No" 13.45 "M" "B" "South"
"498" 11 "Yes" 8 "No" 3.65 "F" "W" "South"
"499" 9 "No" 30 "Yes" 6.25 "M" "W" "South"
"500" 13 "No" 1 "Yes" 5.15 "M" "W" "South"
"501" 17 "Yes" 32 "No" 26.29 "M" "W" "South"
"502" 13 "No" 0 "No" 2.01 "M" "W" "South"
"503" 12 "No" 26 "No" 5 "F" "W" "South"
"504" 11 "No" 36 "No" 8.75 "F" "W" "North"
"505" 14 "Yes" 19 "No" 12.5 "F" "W" "North"
"506" 12 "No" 12 "No" 4 "M" "W" "North"
"507" 16 "Yes" 21 "No" 4.5 "M" "W" "North"
"508" 12 "No" 11 "No" 6.5 "F" "W" "North"
"509" 12 "Yes" 10 "No" 5.5 "M" "W" "North"
"510" 17 "Yes" 15 "No" 6.88 "F" "W" "North"
"511" 16 "No" 16 "No" 6.15 "F" "W" "North"
"512" 12 "Yes" 23 "No" 7.78 "M" "W" "North"
"513" 17 "Yes" 13 "Yes" 12.5 "F" "W" "North"
"514" 14 "Yes" 19 "Yes" 8.85 "F" "B" "North"
"515" 11 "Yes" 20 "No" 4.35 "F" "W" "North"
"516" 18 "No" 5 "No" 11.36 "M" "W" "North"
"517" 8 "Yes" 47 "Yes" 8.93 "M" "H" "North"
"518" 11 "Yes" 33 "No" 3.5 "F" "W" "North"
"519" 14 "Yes" 21 "Yes" 26 "M" "W" "North"
"520" 12 "Yes" 19 "No" 8 "F" "W" "North"
"521" 14 "Yes" 20 "Yes" 16 "M" "W" "North"
"522" 12 "Yes" 13 "No" 5.35 "F" "W" "North"
"523" 17 "Yes" 25 "Yes" 23.25 "F" "B" "North"
"524" 12 "Yes" 18 "No" 8.63 "F" "B" "North"
"525" 14 "No" 13 "No" 18.5 "F" "W" "North"
"526" 18 "Yes" 8 "No" 22.2 "M" "W" "North"
"527" 12 "No" 14 "Yes" 16.26 "M" "B" "North"
"528" 12 "No" 9 "No" 19.47 "M" "W" "North"
